No.,Character,Unicode,Set,Challenge note,TW/Hakka code,IICore TW,IICore HK,Table A,Table B,Small dict,Revised,County/city name,Road name,Surname flag,Examinee,City,JIS,Font count,Category,Notes
7271,猻,0733B,Big5-2,,C,,,V,,V,,,,,,,,7,,"樹倒猢猻散 (when the tree falls, the monkeys scatter)"
5737,啅,5545,Big5-2,,,,,V,,V,,,,,,2,,11,Cantonese,
961,姵,059F5,Big5-2,,C,,,,,,,,,2155,,,,14,Uncategorized,
5356,鎚,0939A,Big5-1,,A,A,,V,V,V,,,,,10,1,,13,Common word,鐵鎚 (hammer)
5821,极,6781,Big5-2,,,,,,,,,,,,,3,,11,Simplified form,北極 (North Pole / arctic)
5767,壎,058CE,Big5-1,,A,A,,V,,V,,,,47,,3,,11,Surname / personal name,
5775,媗,05A97,Big5-2,,C,,,,,,,,,76,,,,11,Surname / personal name,
9566,癭,0766D,Big5-2,,,,,V,,V,,,,,,3,,4,,蟲癭 (insect gall)
5304,謾,08B3E,Big5-2,,B,B,,V,,V,,,,,,2,,13,Common word,謾罵 (vilify / hurl abuse)
6727,鶸,09DB8,Big5-1,,A,,,,,,,,,,,2,,9,,
6136,懨,6.10E+09,Big5-2,,C,,,V,,V,,,,,,,,10,,
5086,忒,05FD2,Big5-2,HK / Hakka note,B,,,V,,V,,,,1,,4,,13,Common word,忒修斯 (Theseus)
4812,饗,9957,Big5-1,TW,A,A,,V,V,V,,,,,,1,人,14,Uncategorized,
6829,崤,05D24,Big5-1,,A,,,V,,V,,,,,,4,,8,,
5255,苳,082F3,Big5-2,TW,C,,,,,,,19,,1,,2,,13,Common word,茄苳 (Bischofia javanica (autumn maple))
636,啗,5557,Big5-1,,A,,,V,,V,,,,,,2,,14,Uncategorized,
5056,堉,5809,Big5-1,,A,A,,,,V,,,,184,,3,,13,Surname / personal name,Common in personal names
5261,莆,8386,Big5-1,,A,A,,V,,V,,,,48,,3,,13,Flora & fauna,莆田 (Putian (Fujian))
6901,焯,0712F,Big5-2,,B,B,,V,,V,,,,22,,4,,8,,
5236,纔,7.00E+94,Big5-1,,A,,,V,,V,,,,,,2,,13,Variant form,才 (talent / just now)
5843,檣,06AA3,Big5-1,,A,A,,V,,V,,,,11,,2,,11,Classical Chinese,
3588,芊,0828A,Big5-2,,B,B,,V,,V,,,,736,,4,,14,Uncategorized,
5102,搆,6406,Big5-1,,A,,,V,V,V,,,,,,2,,13,Common word,搆不著 (can't reach)
5265,菟,083DF,Big5-1,,A,,,V,V,V,,,,,,1,,13,Flora & fauna,菟絲 (dodder (parasitic plant))
7900,腈,8148,CJK,HK / Hakka note,B,,,,,,,,,,,,,6,,
5441,唭,0552D,Big5-2,TW,C,,,,,,,,,,,,,12,Taiwan place name,唭哩岸 (Qilian (Taipei place name))
6081,啶,5576,Big5-2,,,,,V,,V,,,,,,,,10,,
5129,櫺,06AFA,Big5-1,,A,,,V,,V,,,,3,,2,,13,Common word,窗櫺 (window lattice)
5026,冏,0518F,Big5-2,,,C,,V,,V,,,,3,,2,,13,Internet slang,
8460,斲,065B2,Big5-2,,C,,,V,,V,,,,1,,4,,5,,Suggest adding 「斲」 to the basic set; written forms like 「斲傷」「斲喪」「斲琴」.
5517,毬,06BEC,Big5-1,TW,A,A,,V,V,V,,,,,,2,人,12,Common word,擊毬 (polo-like ball game (擊毬))
5109,斛,0659B,Big5-1,,A,A,,V,V,V,,,,,,2,,13,Classical Chinese,Five 斗 = one 斛
5055,坨,5768,Big5-2,,B,,,,,V,,,,,,4,,13,Common word,一坨屎 (a lump of shit (vulgar))
6002,錕,9315,Big5-1,,A,A,,V,,V,,,,99,,4,,11,,
5351,錮,0932E,Big5-1,HK / Hakka note,A,A,,V,V,V,,,,,,2,常,13,Common word,禁錮 (imprison / confine)
5212,箍,07B8D,Big5-2,TW / Hakka,A,A,,V,V,V,,,,,,2,,13,Common word,髮箍 (hairband / Alice band)
5736,啁,5541,Big5-1,,A,A,,V,V,V,,,,,,4,,11,,
5947,葶,8476,Big5-2,,B,,,V,,V,,,,490,,4,,11,,
5620,蛉,086C9,Big5-1,TW,A,,,V,V,V,,,,5,,2,,12,Flora & fauna,草蛉科 (green lacewing family)
5326,邈,9088,Big5-1,,A,A,,V,,V,,,,,,3,,13,Variant form,藐; very likely in personal names
5976,諢,08AE2,Big5-2,,C,,,V,,V,,,,,,2,,11,,
5282,蜷,8737,Big5-1,TW,A,,,V,V,V,,,,,,2,,13,Common word,蜷縮 (curl up / huddle)
6824,屭,05C6D,Big5-2,,C,,,V,,V,,,,,,,,8,,贔屭 (mythic turtle that carries stone steles)
5724,劄,5284,Big5-2,,C,,,V,,V,,,,,,4,,11,Occasionally used,劄記 (reading notes / jottings)
6229,燁,071C1,Big5-2,HK / Hakka note,A,A,,V,,V,,,,649,,3,,10,Surname / personal name,
6192,檠,06AA0,Big5-1,TW / Hakka,A,A,,V,,V,,,,20,,2,,10,,
994,媧,05AA7,Big5-1,TW,A,A,,V,V,V,,,,1,,3,,14,Uncategorized,
5614,蔦,8526,Big5-2,,A,,,V,,V,,5,,,,1,人,12,Common word,蔦屋書店 (Tsutaya Books)
5712,傌,0508C,Big5-2,,,,,V,,V,,,,,,,,11,Occasionally used,Chinese chess (象棋)
7034,霙,9719,Big5-2,,A,A,,,,V,,,1,313,,2,,8,,
2686,珈,073C8,Big5-2,,B,B,,V,,V,,,,1223,,2,人,14,Uncategorized,
579,咩,054A9,Big5-1,TW,A,A,,V,V,V,,,,,,3,,14,Uncategorized,
2469,濕,06FD5,Big5-1,HK / Hakka note,A,A,,V,V,V,,1,,,2,2,人,14,Uncategorized,
2444,潢,06F62,Big5-2,TW / Hakka,A,A,,V,V,V,,,,17,,3,,14,Uncategorized,
5303,謫,08B2B,Big5-1,,A,A,,V,,V,,,,1,,2,,13,Common word,指謫 (censure / point out faults)
5657,釩,9.10E+10,Big5-1,,A,,,V,,V,,,,47,,,,12,Common in naming,Element; also common in company names
5912,笪,07B2A,Big5-2,HK / Hakka note,B,B,,V,,,,,45,2,,4,,11,China place name,
6615,翬,07FEC,Big5-2,,C,,,V,,V,,1,,36,,3,,9,,基翬漁港 (Jihui Fishing Harbor)
5095,憨,061A8,Big5-2,HK / Hakka note,A,A,,V,V,V,,,6,3,,4,,13,Common word,憨厚 (simple and honest)
2302,洵,06D35,Big5-1,,A,A,,V,,V,,,,298,,2,人,14,Uncategorized,
5223,紓,07D13,Big5-2,,B,B,,V,V,V,,,,105,,3,,13,Common word,紓困 (bailout / relief aid)
2109,樑,06A11,Big5-1,TW / Hakka,A,A,,,,V,,,,256,,4,,14,Uncategorized,
5037,啵,5575,Big5-2,,C,,,V,,V,,,,,,,,13,Common word,打啵 (kiss (slang))
6248,瘜,0761C,Big5-2,,C,,,V,,,,,,,,4,,10,,
6187,榧,069A7,Big5-2,,A,A,,V,,V,,,,,,2,,10,,
1361,忐,05FD0,Big5-2,,B,B,,V,V,V,,,,,,,,14,Uncategorized,
6054,俶,04FF6,Big5-2,,B,,,V,,V,,,,27,,2,,10,,
2733,璟,0749F,Big5-1,,A,A,,V,,V,,,,1387,,3,,14,Uncategorized,
1955,杆,6746,Big5-1,TW / Hakka,A,A,,V,V,V,,,,,10,2,,14,Uncategorized,
5633,謖,08B16,Big5-2,,A,A,,V,,V,,,,1,,2,,12,Surname / personal name,馬謖 (Ma Su (Three Kingdoms))
6517,攖,6516,Big5-2,,C,,,V,,V,,,,1,,4,,9,,
5181,琮,0742E,Big5-2,,A,A,,V,,V,,,,1297,,3,,13,Surname / personal name,
7262,澶,06FB6,Big5-1,,A,,,V,,V,,,,,,3,,7,,澶淵之盟 (Chanyuan Treaty)
6644,衽,0887D,Big5-1,,A,,,V,,V,,,,4,,2,,9,,
6276,糅,07CC5,Big5-2,,B,B,,V,,V,,,,,,2,,10,,
5978,賡,08CE1,Big5-1,,A,,,V,,V,,,1,11,,3,,11,,
5316,蹩,8.00E+69,Big5-2,,B,,,V,,V,,,,,,,,13,Common word,蹩腳 (lame / shoddy / inferior)
6227,熠,071A0,Big5-2,,B,B,,V,,V,,,,74,,4,,10,,
6394,鯓,09BD3,Big5-2,,C,,,V,,V,,1,,,,,,10,Taiwan place name,鯤鯓 (Kunshen (Tainan coastal place))
5391,鵰,09D70,Big5-2,TW,B,B,,V,V,V,,,,1,,3,,13,Flora & fauna,大鵰 (large eagle / aquila)
7125,唎,0550E,Big5-2,,,A,,,,,,,,2,,3,,7,,
5125,楮,0696E,Big5-1,,A,A,,V,,V,,,26,,,2,,13,Common word,"Plant name (Moraceae, Broussonetia); also rare surname"
5128,櫸,06AF8,Big5-2,,B,,,V,V,V,,,,13,,,,13,Common word,山毛櫸 (beech tree)
5346,銨,092A8,Big5-1,,A,,,V,,V,,,,61,,,,13,Science & engineering,NH4 (ammonium (NH4))
5022,儻,0513B,Big5-1,,A,,,V,,V,,,,,,2,,13,Common word,風流倜儻 (debonair / romantic and unrestrained)
6375,雎,096CE,Big5-2,,,A,,V,,V,,,5,1,,2,,10,Classical Chinese,關雎 (Guanju (first poem of 詩經))
5361,鑪,0946A,Big5-1,HK / Hakka note,A,,,V,,V,,,,4,,2,,13,Science & engineering,Periodic-table element
6690,錞,0931E,Big5-2,,A,A,,V,,V,,,,274,,4,,9,,
5522,洒,06D12,Big5-2,TW,A,,,V,,V,,,6,2,,2,,12,Variant form,灑 (sprinkle / spill)
5127,檐,06A90,Big5-1,,A,A,,V,,V,,,,,,2,,13,Variant form,簷 (eaves)
4382,邃,9083,Big5-1,,A,A,,V,V,V,,,,,,2,,14,Uncategorized,
5558,癈,7648,Big5-2,,,,,V,,V,,,,,,2,,12,Variant form,廢 (abandon / waste / useless)
5992,鉈,9248,Big5-2,TW / Hakka,B,,,V,,V,,,,,,2,,11,,
5490,搵,6435,Big5-2,TW / Hakka,B,B,,V,,V,,,,,,,,12,Common word,Fairly common in Cantonese & Taiwanese
5101,掂,6382,Big5-2,TW,A,A,,V,,V,,,,,,,,13,Common word,惦斤兩 (weigh every ounce — be calculating)
5702,乂,4.00E+42,Big5-2,,,A,,V,,V,,,,11,1,2,,11,,乂煞氣a文字乂 (edgy stylized text meme)
6720,鰕,09C15,CJK,,A,A,,,,V,,,,,,2,,9,,陽明山吻鰕虎 (Yangmingshan kissing goby)
5413,傣,050A3,Big5-2,,A,A,,V,,V,,,,,,4,,12,Common word,Dai people (傣族); Dai language
5033,吽,0543D,Big5-2,,B,,,,,V,,,,,,2,,13,Common word,嗡嘛呢叭咪吽 (Om Mani Padme Hum)
5354,鍺,0937A,Big5-2,,C,,,V,,V,,,,2,,,,13,Science & engineering,Periodic-table element
6567,琯,0742F,Big5-1,,A,A,,V,,V,,1,,10,,3,,9,,
5807,抔,6294,Big5-2,TW / Hakka,,,,V,,V,,,,,,2,,11,Taiwanese (Hokkien),
6721,鰤,09C24,Big5-2,,,,,,,,,,,,,2,,9,,鰤魚壽司 (yellowtail / amberjack sushi)
5640,蹠,8.00E+60,Big5-2,,A,A,,V,,V,,,,,1,2,,12,,蹠骨 (metatarsal bone)
5893,畀,7540,Big5-2,HK / Hakka note,,B,,V,,V,,,,5,,4,,11,Cantonese,
6977,裒,088D2,Big5-1,TW,A,,,V,,V,,,,,,4,,8,,
5478,怛,0601B,Big5-1,,A,,,V,,V,,,,,,2,,12,,
6250,眯,0772F,Big5-2,TW,A,,,V,,V,,,,,,,,10,,
5929,羥,07FA5,Big5-2,,C,,,V,,V,,,,,,,,11,Science & engineering,羥基 (hydroxyl group)
6814,妘,5998,Big5-2,,C,,,V,,,,,,356,,,,8,,Very common in personal names
5746,嘌,0560C,Big5-2,,C,,,V,,V,,,,,,,,11,Science & engineering,Purine (嘌呤 / 普林; common in food labels)
481,双,053CC,CJK,,,,,,,,,19,33,22,,1,常,14,Uncategorized,
5183,瑢,7462,Big5-2,,A,A,,V,,V,,,,211,,3,,13,Surname / personal name,
5323,遛,0905B,Big5-1,TW,A,,,V,,V,,,,,,,,13,Common word,遛狗 (walk a dog)
6294,膻,081BB,Big5-2,,B,,,V,,V,,,,,,3,,10,,
7503,俣,04FE3,CJK,,,,,,,,,,,,2,1,人,6,,
157,侷,04FB7,Big5-1,TW,A,,,V,,V,,,,,,,,14,Uncategorized,
5348,鋯,092EF,Big5-2,,C,,,V,,V,,,,1,,,,13,Science & engineering,Periodic-table element
7848,笫,07B2B,Big5-2,,B,,,V,,V,,,,,,,,6,,床笫之間 (in bed / private marital matters)
411,勳,052F3,Big5-1,TW,A,A,,,,V,,,,5894,,2,人,14,Uncategorized,
3357,网,07F51,Big5-2,,A,,,V,,V,,,,,,2,,14,Uncategorized,
5099,挂,6302,Big5-1,TW,A,,,V,,V,,,,,,2,,13,Variant form,掛 (hang / be concerned)
5046,囡,5.60E+02,Big5-2,TW,B,B,,V,V,V,,,,2,,,,13,Common word,囡仔 (child (Taiwanese))
5313,踞,08E1E,Big5-1,HK / Hakka note,A,A,,V,V,V,,,,,,2,,13,Common word,龍蹯虎踞 (coiled dragon and crouching tiger — strategic terrain)
5892,甾,0753E,Big5-2,,C,,,V,,V,,,,,,4,,11,Occasionally used,Sterol; also called 「甾醇」
5598,腌,0814C,Big5-1,TW,A,,,V,,V,,,,,,,,12,Variant form,醃 / 骯 (pickle (醃) / filthy (骯))
3180,簌,07C0C,Big5-1,,A,,,V,,V,,,,,,,,14,Uncategorized,
4048,諳,08AF3,Big5-1,TW,A,A,,V,V,V,,,,82,,2,,14,Uncategorized,
7221,杌,0674C,Big5-2,,,,,V,,V,,,,,,4,,7,,檮杌｜四凶 (Taowu — one of the Four Perils)
6029,魴,09B74,Big5-2,TW,C,,,V,,V,,,,1,,2,,11,,
7005,釷,091F7,Big5-2,,,,,,,V,,,,2,,,,8,,Thorium nuclear / periodic table (釷)
5563,硒,7852,Big5-2,,A,,,V,,V,,,,,,,,12,Science & engineering,Periodic table
7293,矧,7.70E+08,Big5-2,,,,,V,,V,,,,,,1,,7,,法律判決、公文用字 (used in legal judgments / official docs)
7893,羰,07FB0,Big5-2,,,,,V,,V,,,,,,,,6,,"Carbonyl group (羰基, ㄊㄤ)"
1874,昶,6636,Big5-2,,A,A,,V,,V,,,1,1080,,2,,14,Uncategorized,
5456,墘,5898,Big5-2,TW,C,,,V,,V,,31,,,,,,12,Taiwan place name,港墘 (waterfront / harbor edge (墘))
5231,縐,7.00E+10,Big5-1,TW / Hakka,A,A,,V,V,V,,,,,,4,,13,Occasionally used,縐紗 (crepe); 縐 also often used as variant of 皺
984,婕,05A55,Big5-2,,B,,,V,,V,,,,2406,,4,,14,Uncategorized,
5861,洁,06D01,Big5-2,,,,,,,,,,,9,,,,11,Simplified form,潔 (clean / pure)
5670,閎,0958E,Big5-1,,A,,,V,V,V,,,,536,,3,,12,Surname / personal name,
267,儿,0513F,Big5-1,,A,,,,,V,,,,5,,2,,14,Uncategorized,
5367,霈,9708,Big5-2,,B,,,V,,V,,,,1026,,2,,13,Common word,甘霈; common in personal names
2732,璞,0749E,Big5-1,TW,A,A,,V,V,V,,,1,251,,2,,14,Uncategorized,
7017,錒,9312,Big5-2,,,,,V,,V,,,1,,,,,8,,Periodic table
5294,襁,8941,Big5-2,HK / Hakka note,A,A,,V,V,V,,,,4,,2,,13,Common word,Infancy (強褓之年)
3501,腩,8169,Big5-2,TW,B,B,,V,,V,,,,,,4,,14,Uncategorized,
667,喫,055AB,Big5-1,HK / Hakka note,A,A,,V,,V,,,,,,1,常,14,Uncategorized,
7057,鷴,09DF4,Big5-2,,C,,,,,V,,,,,,4,,8,,
5627,袤,088A4,Big5-2,,B,,,V,,V,,,,,,2,,12,Common in naming,
6356,鄢,9122,Big5-2,,,,,V,,V,,,489,40,2,3,,10,,
5220,糗,07CD7,Big5-2,,C,,,V,V,V,,,,,,4,,13,Common word,出糗 (make a fool of oneself)
5811,擣,6.40E+04,Big5-2,,,,,V,V,V,,,,,,2,,11,,Same as / related: 同搗
3587,芃,8283,Big5-2,,B,,,V,,V,,,,878,,4,,14,Uncategorized,
7924,萘,8418,CJK,,,,,,,,,,,,,,,6,,Naphthalene balls / mothballs (萘丸)
6098,囔,056D4,Big5-2,,B,,,V,,V,,,,,,,,10,,
5973,詈,08A48,Big5-2,TW,,,,V,,V,,,,,,2,,11,,
5393,鶩,09DA9,Big5-2,,A,A,,V,,V,,,,,,2,,13,Flora & fauna,趨之若鶩 (flock to something like ducks)
5189,疣,075A3,Big5-1,,A,,,V,V,V,,,,,,2,,13,Common word,臉上長疣 (warts on the face)
5193,癰,7670,Big5-2,TW,A,A,,V,,V,,,,,,2,,13,Common word,癰疽 (carbuncle / abscess)
5200,硅,7845,Big5-2,,A,A,,,,V,,,,,,2,,13,Common word,矽、硅、珪 (silicon (矽/硅/珪))
4897,鮭,09BAD,Big5-1,,A,,,V,V,V,,,,,1,1,,14,Uncategorized,
6807,墦,058A6,Big5-1,,A,,,V,,V,,,,,,,,8,,墦間酒食 (food and drink among the graves (孟子 allusion))
6113,嬗,05B17,Big5-2,,B,,,V,,V,,,,,,4,,10,,
1681,掰,063B0,Big5-2,TW / Hakka,B,,,V,,V,,,,,,,,14,Uncategorized,
3827,蜒,8712,Big5-2,HK / Hakka note,A,A,,V,V,V,,,,,,2,,14,Uncategorized,
2241,汨,06C68,Big5-1,HK / Hakka note,A,A,V,,,,,,1,7,,2,,14,Uncategorized,
2533,焜,0711C,Big5-1,HK / Hakka note,A,A,,V,,V,,,,226,,2,,14,Uncategorized,
6023,騮,09A2E,Big5-2,,B,B,,V,,V,,,,2,,3,,11,,
6325,覈,8988,Big5-2,,C,,,V,,V,,,,,,2,,10,,覈實 (verify / check the facts)
5887,珥,7.30E+06,Big5-2,,A,A,,V,,V,,,,2,,2,,11,Common in naming,Popular in jewelry-business naming
6991,趯,08DAF,Big5-2,,,,,V,,V,,,,2,,3,,8,,永字八法 strokes: 側、勒、弩、趯、策、掠、啄、磔
6223,焱,7131,Big5-2,TW,B,,,V,,V,,,,42,,4,,10,,
4413,鄲,9132,Big5-2,,A,A,,V,,V,,,,,,2,,14,Uncategorized,
5903,砒,7812,Big5-2,TW,A,A,,V,,V,,,,,,2,,11,,砒霜 (arsenic trioxide / arsenic)
5459,媜,05A9C,Big5-2,,B,B,,,,,,,,244,,4,,12,Surname / personal name,
6523,杈,6748,Big5-2,HK / Hakka note,B,,,V,,V,,,,,,3,,9,,
5267,萇,8407,Big5-1,,A,,,V,,V,,,21,,,2,,13,Flora & fauna,Common in company / shop names
6021,餬,0992C,Big5-2,,B,,,V,,V,,,,,,2,,11,,
5203,祂,7942,Big5-2,,B,,,V,V,V,,,,,,,,13,Common word,
6038,鴞,09D1E,Big5-2,TW,C,,,V,,V,,,,,,3,,11,,
5673,隄,9684,Big5-1,,A,,,V,,V,,,,6,,3,,12,Common in naming,
5955,蚕,8695,Big5-2,,,,,V,,V,,,,,,1,常,11,,
6306,蓴,084F4,Big5-2,,A,A,,V,,V,,,,26,,2,,10,,
6571,瓞,074DE,Big5-2,,C,,,V,,V,,,,,,4,,9,,瓜瓞綿綿 (may your descendants be many (瓜瓞))
5820,杲,6772,Big5-1,,A,A,,V,,V,,,33,4,,2,,11,,Japanese; also China place names
6389,髀,09AC0,Big5-2,HK / Hakka note,,B,,V,,V,,,,,,2,,10,,
5591,翦,07FE6,Big5-2,,B,,,V,V,V,,,11,2,,2,,12,Common word,一翦梅 (Yi Jian Mei (ci tune / song))
5217,籥,07C65,Big5-1,,A,,,V,,V,,,,1,,2,,13,Classical Chinese,Musical instrument name; ancient wind instrument
5207,穠,07A60,Big5-1,,A,,,V,,V,,,,52,,4,,13,Common word,穠纖合度 (neither too plump nor too thin — well-proportioned)
5788,嵋,05D4B,Big5-2,,A,A,,V,,V,,,,34,,2,,11,China place name,峨嵋山 (Mount Emei)
7378,蠓,8813,Big5-2,TW,,,,V,,V,,,,,,4,,7,,Taiwan biting midge / 鋏蠓 (small black gnat)
6709,鬈,09B08,Big5-2,,C,,,V,,V,,,,,,3,,9,,"Suggest moving 「鬈」 from naming to basic set (鬈髮、鬈毛). TW reading often ㄐㄩㄢˇ, so people substitute 捲/卷; 「鬈」 specifically refers to hair."
5139,洄,06D04,Big5-2,TW,B,,,V,V,V,,,,1,,3,,13,Common word,洄瀾 (eddying waves; also Hualien-related name)
5942,菈,083C8,Big5-2,,C,,,V,,,,,21,,,,,11,,
6487,悱,060B1,Big5-2,,C,,,V,V,V,,,,,,4,,9,,不悱不發、纏綿悱惻 (teach when ready; lingering pathos (悱))
6538,殍,06B8D,Big5-2,,,,,V,,V,,,,,,2,,9,,野有餓殍 (starving corpses in the fields)
5065,嬈,05B08,Big5-1,TW,A,,,V,,V,,,,7,,4,,13,Binome / fixed compound,嬌嬈 (charming / seductive)
5369,靚,0975A,Big5-2,HK / Hakka note,B,B,,V,,V,,,,311,,3,,13,Common word,靚女 (pretty woman (Cantonese 靚))
2651,猝,0731D,Big5-2,,A,A,,V,,V,,,,,,2,,14,Uncategorized,
5932,胼,080FC,Big5-1,,A,,,V,V,V,,,,,,2,,11,Common word,
5877,灩,7069,Big5-2,,C,,,V,,V,,1,,1,,4,,11,,
5182,琲,7432,Big5-2,,B,,,,,V,,,,32,,2,,13,Surname / personal name,明琲 (personal name element (琲))
6715,鮒,09B92,Big5-2,,A,,,V,,V,,,,,,1,,9,,
5043,噶,5676,Big5-1,TW / Hakka,A,,,V,,V,,,14,,14,3,,13,Taiwan place name,噶瑪蘭 (Kavalan (people / place))
5143,浹,06D79,Big5-1,HK / Hakka note,A,A,,V,V,V,,,,,,2,,13,Common word,汗流浹背 (sweat soaks the back)
5952,薹,085B9,Big5-1,,A,,,V,,V,,,,,,2,,11,,
5707,侔,04F94,Big5-2,,,,,V,,V,,,,2,,3,,11,,Occasionally used in naming
7032,隰,096B0,Big5-2,,B,,,V,,V,,,,,,2,,8,,
7246,殛,06B9B,Big5-2,,C,,,V,,V,,,,,,4,,7,,電殛 (death by electric shock)
5277,薺,085BA,Big5-1,TW / Hakka,A,A,,V,,V,,,,13,,2,,13,Flora & fauna,荸薺 (water chestnut)
5937,茬,0832C,Big5-2,,,,,,,V,,,6,2,,,,11,Surname / personal name,
5440,哧,5.40E+08,Big5-2,,B,,,V,,V,,,,,,,,12,Common word,噗哧 (pfft / stifled laugh)
810,埕,057D5,Big5-2,TW / Hakka,B,,,V,V,V,41,57,60,16,,,,14,Uncategorized,
7898,胇,080C7,Big5-2,,,,,V,,V,,,,,,,,6,,雞胇、雞腩胇 (chicken fat / fatty chicken cuts (胇))
6477,廨,05EE8,Big5-2,,C,,,V,,V,,,,,,2,,9,,審計公廨 (audit office / government office (公廨))
4915,鱒,09C52,Big5-2,,A,,,V,V,V,,,,,1,1,人,14,Uncategorized,
5547,瑀,7440,Big5-2,,A,A,,V,,V,,,,1236,,4,,12,Surname / personal name,
5549,甍,0750D,Big5-1,TW,A,,,V,,V,,,,1,,2,,12,Japanese,
5607,荖,8356,Big5-2,TW,C,,,V,,,,9,,,10,,,12,Taiwan place name,荖濃溪 (Laonong River)
6682,鉍,0924D,Big5-1,,A,A,,V,,V,,,,3,,,,9,,
5078,嶸,05DB8,Big5-1,HK / Hakka note,A,A,,V,V,V,,,,237,,3,,13,Common word,崢嶸 (lofty / outstanding)
5972,觚,089DA,Big5-2,,C,,,V,,V,,,,,,2,,11,,
1651,据,0636E,Big5-2,,A,A,,V,V,V,,,,,,1,常,14,Uncategorized,
5602,芩,082A9,Big5-2,,A,A,,V,,V,,,,361,,3,,12,Flora & fauna,黃芩 (Scutellaria (Chinese herb))
5667,鎧,093A7,Big5-2,,A,A,,V,,V,,,,600,,1,人,12,,鎧甲 (armor)
5014,丼,04E3C,Big5-2,TW,B,,,,,,,,,,,2,常,13,Food,牛丼 (gyudon / beef rice bowl)
2737,璨,074A8,Big5-1,,A,A,,V,V,V,,,,204,,3,,14,Uncategorized,
5167,爲,7232,CJK,,,A,,,,,,,,,,2,人,13,Variant form,Suggest moving 「爲」「僞」 from Japanese to basic set. Still widely used in traditional-Chinese print/handwriting/names; Japanese pack placement understates Chinese usage.
5593,耦,8026,Big5-1,,A,,,V,,V,,,,,,3,,12,Common word,耦合 (coupling (physics/engineering))
5137,沏,06C8F,Big5-2,,A,,,V,V,V,,,,,,,,13,Common word,沏茶 (brew tea)
5364,闕,095D5,Big5-1,TW,A,A,,V,V,V,,,8937,560,,2,,13,Surname / personal name,Surname
6333,諡,08AE1,Big5-2,,,A,,V,,V,,,,,,2,,10,,諡號 (posthumous title)
5851,殞,06B9E,Big5-2,,A,A,,V,,V,,,,,,2,,11,Common word,殞落 (fall / perish (esp. stars / people))
5997,銣,092A3,Big5-2,,,,,V,,V,,,,29,,,,11,,
5521,泮,06CEE,Big5-2,,A,A,,V,,V,,1,,2,,3,,12,Common in naming,Very common in personal / shop names
6450,嚦,056A6,Big5-2,,B,B,,V,,V,,,,1,,,,9,,
5575,篝,07BDD,Big5-2,,,B,,V,V,V,,,,,,2,,12,,
4802,餮,0992E,Big5-1,,A,,,V,,V,,,,,,2,,14,Uncategorized,
890,夯,0592F,Big5-2,TW,A,,,V,,V,,,,,,,,14,Uncategorized,
5382,魎,09B4E,Big5-1,,A,,,V,,V,,,,,,2,,13,Common word,魑魅魍魎 (demons and monsters of all kinds)
5257,茭,0832D,Big5-2,TW / Hakka,B,,,V,,V,,3,,,,3,,13,Flora & fauna,茭白筍 (water bamboo / wild rice stem)
5647,郢,9.00E+03,Big5-1,,A,,,V,,V,,,,22,,2,,12,,
5632,誚,08A9A,Big5-1,HK / Hakka note,A,,,V,,V,,,,,,2,,12,Taiwanese (Hokkien),Folk writing of Taiwanese kiàn-siàu as 見誚
6614,羧,07FA7,Big5-2,,,,,V,,V,,,,,,,,9,,羧基 (carboxyl group)
6030,鮨,09BA8,Big5-2,,,,,V,,V,,,,,,2,,11,,
5339,鈦,9226,Big5-2,,B,B,,V,,V,,,,1,,,,13,Science & engineering,Periodic-table element
6595,稹,07A39,Big5-2,,,,,V,,V,,,,9,,3,,9,,元稹 (Yuan Zhen (Tang poet))
6287,罡,07F61,Big5-2,,B,,,V,,V,,,,67,,4,,10,,
5188,畿,0757F,Big5-1,,A,A,,V,,V,,,,16,1,1,常,13,Common word,京畿 (capital region)
5854,氅,06C05,Big5-1,TW,A,,,V,,V,,,,,,3,,11,Occasionally used,氅衣 (cloak / overcoat)
4476,鉅,9245,Big5-1,,A,A,,V,V,V,,,,197,,2,,14,Uncategorized,
5075,崽,05D3D,Big5-2,HK / Hakka note,,,,V,,V,,,,,,,,13,Common word,兔崽子 (brat / bastard (insult))
5502,柊,067CA,Big5-2,,,,,,,,,,,9,,1,人,12,Common in naming,Common in company / shop names
5288,蟎,087CE,CJK,Clearer with Hakka literacy,B,,,,,,,,,,,4,,13,Common word,塵蟎 (dust mite)
6480,彘,05F58,Big5-2,,B,,,V,,V,,,,,,3,,9,,
5130,歆,06B46,Big5-2,TW,A,A,,V,,V,,,,797,,3,,13,Surname / personal name,陳霈歆 (personal name (陳霈歆))
5565,碓,7893,Big5-1,TW / Hakka,A,,,V,,V,,12,1,,1,1,人,12,Taiwan place name,水碓景觀公園 (water-powered pestle landscape park)
5714,傴,050B4,Big5-2,,,,,V,,V,,,,,,2,,11,,Occasionally used in Cantonese / Japanese
6484,怩,6029,Big5-1,,A,,,V,,V,,,,10,,2,,9,,
5290,蟾,087FE,Big5-1,TW / Hakka,A,A,,V,V,V,,,,2,1,2,,13,Flora & fauna,蟾蜍 (toad)
5245,胯,080EF,Big5-1,,A,A,,V,,V,,,,,,2,,13,Common word,胯下 (between the legs / crotch)
5725,劼,052BC,Big5-2,,,,,V,,V,,,,70,,2,,11,Surname / personal name,
